date,Open,High,Low,Close,Volume,ticker,returns_1d,returns_3d,returns_5d,returns_10d,vol_5d,vol_10d,vol_20d,price_sma_10,price_sma_20,price_ratio_sma10,price_ratio_sma20,rsi_14,volume_sma_10,volume_ratio,turnover,y1d,y5d,direction_1d,direction_5d,alpha_1d,alpha_5d,ticker_type
2020-12-01,44.29999923706055,44.29999923706055,40.900001525878906,41.5,1213010,AMC,,,,,,,,,,,,,,,,0.040147085674047435,-0.041826534115593464,1.0,-1.0,0.038045444495713,-0.05310109342269824,meme_stock
2020-12-02,40.79999923706055,43.400001525878906,39.5,43.20000076293945,1184760,AMC,0.040147085674047435,,,,,,,,,,,,,,,-0.1740227926575108,-0.11258827597045701,-1.0,-1.0,-0.1737501467690206,-0.11275184562671027,meme_stock
2020-12-03,40.099998474121094,42.20000076293945,35.0,36.29999923706055,6608090,AMC,-0.1740227926575108,,,,,,,,,,,,,,,-0.03361663325370338,0.11931238010311915,-1.0,1.0,-0.042197229113395934,0.1192033306302922,meme_stock
2020-12-04,37.5,37.599998474121094,33.0,35.099998474121094,3315730,AMC,-0.03361663325370338,-0.16749234023716675,,,,,,,,,,,,,,0.014144507996731188,0.11047567925967222,1.0,1.0,0.016201501315098853,0.12012050990653962,meme_stock
2020-12-07,34.5,37.400001525878906,33.29999923706055,35.599998474121094,2050390,AMC,0.014144507996731188,-0.193494917914483,,,,,,,,,,,,,,0.1115212981248421,-0.10973959716371666,1.0,-1.0,0.10859933664890645,-0.09766442592761468,meme_stock
2020-12-08,36.099998474121094,40.20000076293945,36.099998474121094,39.79999923706055,2953060,AMC,0.1115212981248421,0.09204917286786991,-0.041826534115593464,,0.10643422162825172,,,,,,,,,,,-0.03061465618081611,-0.3304601619571498,-1.0,-1.0,-0.021605307708299028,-0.3288920987530607,meme_stock
2020-12-09,42.20000076293945,43.29999923706055,37.5,38.599998474121094,2099120,AMC,-0.03061465618081611,0.0950511499407572,-0.11258827597045701,,0.1030207632390458,,,,,,,,,,,0.05787786341606536,-0.32821624368751706,1.0,-1.0,0.058205029487981876,-0.3372255921600341,meme_stock
2020-12-10,37.900001525878906,41.0,37.70000076293945,40.900001525878906,1987280,AMC,0.05787786341606536,0.13878450536009135,0.11931238010311915,,0.061658658172915104,,,,,,,,,,,-0.042453334097150304,-0.3612260130817035,-1.0,-1.0,-0.041280049837148516,-0.3761389452640562,meme_stock
2020-12-11,40.400001525878906,42.5,38.70000076293945,39.20000076293945,2231040,AMC,-0.042453334097150304,-0.015190126861901056,0.11047567925967222,,0.06380729136036271,,,,,,,,,,,-0.2060707684266577,-0.33647225608395415,-1.0,-1.0,-0.20158343451905547,-0.34855743661503236,meme_stock
2020-12-14,40.099998474121094,40.099998474121094,30.0,31.899999618530273,6715900,AMC,-0.2060707684266577,-0.19064623910774264,-0.10973959716371666,,0.12101962188103496,,,38.20999965667725,,0.8348599818151453,,,3035838.0,2.2122063166743415,,-0.10919926666859105,-0.17420413878357982,-1.0,-1.0,-0.12262833617653962,-0.18719492551721048,meme_stock
2020-12-15,32.400001525878906,32.400001525878906,27.600000381469727,28.600000381469727,5443210,AMC,-0.10919926666859105,-0.35772336919239905,-0.3304601619571498,-0.3722866960727433,0.09828307017920823,0.10125992888598338,,36.91999969482422,,0.7746479040594124,,,3458858.0,1.5737014933830762,,-0.028370737911183375,-0.09916377718697823,-1.0,-1.0,-0.029938801115272386,-0.09703850961238324,meme_stock
2020-12-16,28.700000762939453,28.899999618530273,27.200000762939453,27.799999237060547,2542320,AMC,-0.028370737911183375,-0.34364077300643214,-0.32821624368751706,-0.4408045196579741,0.09849047204684391,0.0976980296717286,,35.37999954223633,,0.785754652254112,,,3594614.0,0.7072581367568256,,0.024868094021878964,-0.08244362686604803,1.0,-1.0,0.01929167638395981,-0.07964857728817584,meme_stock
2020-12-17,28.0,29.5,27.399999618530273,28.5,2379930,AMC,0.024868094021878964,-0.11270191055789545,-0.3612260130817035,-0.24191363297858434,0.08876711297181093,0.08807653024791291,,34.599999618530276,,0.8236994310467166,,,3171798.0,0.7503409737946742,,-0.017699577099400975,-0.1270362259388697,-1.0,-1.0,-0.013698541188124691,-0.12254754338762133,meme_stock
2020-12-18,28.5,28.5,27.600000381469727,28.0,2194170,AMC,-0.017699577099400975,-0.021202220988705386,-0.33647225608395415,-0.2259965768242819,0.09149251542813455,0.08803108600643278,,33.88999977111816,,0.8262024251726978,,29.10217409327747,3059642.0,0.7171329194722781,,-0.04380265112628338,-0.15832606719881545,-1.0,-1.0,-0.04022092342123358,-0.16639255209070156,meme_stock
2020-12-21,26.100000381469727,27.399999618530273,25.799999237060547,26.799999237060547,2269980,AMC,-0.04380265112628338,-0.03663413420380539,-0.17420413878357982,-0.28394373594729644,0.04876046449785656,0.0872473462351769,,33.00999984741211,,0.8118751699770634,,28.05970784894761,3081601.0,0.7366235927363731,,-0.03415890507198947,-0.15726496514679333,-1.0,-1.0,-0.0324719202717124,-0.16700355101012945,meme_stock
2020-12-22,27.299999237060547,27.5,25.200000762939453,25.899999618530273,2163840,AMC,-0.03415890507198947,-0.09566113329767383,-0.09916377718697823,-0.42962393914412805,0.026718008906045282,0.07214449797747255,,31.619999885559082,,0.819101825182449,,23.54740719366518,3002679.0,0.7206364716308337,,-0.011650587590253173,-0.1815496216261764,-1.0,-1.0,-0.012548868791064989,-0.19440082895093896,meme_stock
2020-12-23,25.799999237060547,26.5,25.399999618530273,25.600000381469727,1572480,AMC,-0.011650587590253173,-0.08961214378852603,-0.08244362686604803,-0.4106598705535651,0.026427003425564848,0.07275182799855891,,30.320000076293944,,0.844327187237885,,29.501924192634547,2950015.0,0.5330413574168267,,-0.019724505050942708,-0.18859114872100177,-1.0,-1.0,-0.023607289715485678,-0.2056122385162204,meme_stock
2020-12-24,25.899999618530273,26.0,24.799999237060547,25.100000381469727,1109420,AMC,-0.019724505050942708,-0.06553399771318535,-0.1270362259388697,-0.48826223902057314,0.013190240913742242,0.06472061052714008,,28.739999961853027,,0.873347265650149,,30.314970001694846,2862229.0,0.3876070013964641,,-0.04898941835934673,-0.22214802729211192,-1.0,-1.0,-0.05754354989120492,-0.22157870266482035,meme_stock
2020-12-28,26.299999237060547,26.299999237060547,23.600000381469727,23.899999618530273,2394270,AMC,-0.04898941835934673,-0.08036451100054262,-0.15832606719881545,-0.49479832328276957,0.015786305238791973,0.06468209241381949,,27.20999984741211,,0.8783535373964125,,27.5862159683617,2878552.0,0.8317619414205476,,-0.04274154907426125,-0.18819654380819523,-1.0,-1.0,-0.04083192234066148,-0.18593690877593944,meme_stock
2020-12-29,24.399999618530273,24.600000381469727,22.799999237060547,22.899999618530273,2108610,AMC,-0.04274154907426125,-0.11145547248455069,-0.15726496514679333,-0.33146910393037315,0.015588235647036623,0.034174385331198015,,26.309999847412108,32.25999975204468,0.8703914766758447,0.7098574021867078,13.100449192954414,2417823.0,0.8721109857917639,0.7732823877391719,-0.05844356155137255,-0.1304170598585039,-1.0,-1.0,-0.0598691982125219,-0.13602774602249312,meme_stock
2020-12-30,23.0,23.0,21.299999237060547,21.600000381469727,4027840,AMC,-0.05844356155137255,-0.15017452898498052,-0.1815496216261764,-0.2807133988131546,0.019844346067866017,0.0238265561913475,0.07174911891626791,25.60999984741211,31.264999771118163,0.8434205587725689,0.6908684004348938,13.043491601489947,2276286.0,1.7694788791918064,1.4046168675102142,-0.018692114685078528,-0.05226844620639213,-1.0,-1.0,-0.02376027835634643,-0.07120183183029652,meme_stock
2020-12-31,21.700000762939453,22.200000762939453,20.799999237060547,21.200000762939453,2823430,AMC,-0.018692114685078528,-0.11987722531071233,-0.18859114872100177,-0.27103477558704975,0.017801544813491946,0.024008923504955183,0.0697865501242098,24.95,30.164999771118165,0.8496994293763308,0.7028012903629339,3.3175388009811115,2304397.0,1.2252359293993178,0.9572553772149264,-0.05328138362205289,0.009389686536441406,-1.0,1.0,-0.039573753864085646,-0.010156868258641066,meme_stock
2021-01-04,22.0,22.0,20.0,20.100000381469727,2987380,AMC,-0.05328138362205289,-0.13041705985850396,-0.22214802729211192,-0.3491842532309817,0.015498425737706139,0.016869960477148175,0.06196517953512077,24.11000003814697,29.354999828338624,0.8336789858841724,0.6847215295183092,3.4146375502946853,2365142.0,1.2630869520730679,1.0790725563217227,-0.015037934875430016,0.09032261931469268,-1.0,1.0,-0.02190175600232398,0.06383194117110744,meme_stock
2021-01-05,19.899999618530273,20.299999237060547,19.100000381469727,19.799999237060547,2814830,AMC,-0.015037934875430016,-0.08701143318256144,-0.18819654380819523,-0.34652261100701065,0.01983269120167972,0.017189780009131832,0.062040297603505726,23.289999961853027,28.589999866485595,0.8501502477239676,0.6925498191509593,5.185190103998522,2427208.0,1.159698715561254,1.0260276843726364,0.015037934875430061,0.14545499473393397,1.0,1.0,0.009077240412784822,0.1256170845832106,meme_stock
