date,open,high,low,close,volume
2023-01-03T05:00:00+00:00,18.639999389648438,19.260000228881836,17.09000015258789,17.200000762939453,5135200
2023-01-04T05:00:00+00:00,17.25,17.93000030517578,16.899999618530273,17.31999969482422,3939300
2023-01-05T05:00:00+00:00,17.059999465942383,17.260000228881836,15.890000343322754,16.219999313354492,6066200
2023-01-06T05:00:00+00:00,16.0,16.56999969482422,15.40999984741211,16.459999084472656,4823400
2023-01-09T05:00:00+00:00,16.649999618530273,17.1299991607666,16.360000610351562,16.3799991607666,3522600
2023-01-10T05:00:00+00:00,16.299999237060547,18.09000015258789,16.25,17.770000457763672,4402800
2023-01-11T05:00:00+00:00,18.190000534057617,20.049999237060547,17.860000610351562,19.040000915527344,8405800
2023-01-12T05:00:00+00:00,19.040000915527344,20.6299991607666,18.34000015258789,20.6299991607666,5877300
2023-01-13T05:00:00+00:00,19.8799991607666,21.110000610351562,19.799999237060547,20.489999771118164,5494400
2023-01-17T05:00:00+00:00,20.489999771118164,21.940000534057617,20.3700008392334,21.799999237060547,5407900
2023-01-18T05:00:00+00:00,22.010000228881836,22.149999618530273,20.5,20.790000915527344,5632200
2023-01-19T05:00:00+00:00,20.440000534057617,20.450000762939453,18.81999969482422,19.040000915527344,4519200
2023-01-20T05:00:00+00:00,19.049999237060547,20.06999969482422,18.899999618530273,19.610000610351562,3564300
2023-01-23T05:00:00+00:00,19.5,22.489999771118164,19.3700008392334,21.65999984741211,7181500
2023-01-24T05:00:00+00:00,21.299999237060547,22.09000015258789,21.0,21.399999618530273,2381600
2023-01-25T05:00:00+00:00,20.59000015258789,20.84000015258789,19.530000686645508,20.229999542236328,3515800
2023-01-26T05:00:00+00:00,20.610000610351562,21.170000076293945,19.3799991607666,20.010000228881836,3520000
2023-01-27T05:00:00+00:00,19.799999237060547,23.309999465942383,19.40999984741211,22.81999969482422,11897200
2023-01-30T05:00:00+00:00,22.5,23.479999542236328,21.1299991607666,21.25,4950600
